GEO_ID,NAME,PCT_WHITE,PCT_BLACK,PCT_HISPANIC,TOTAL,B03002_001M,B03002_002E,B03002_002M,WHITE,B03002_003M,BLACK,B03002_004M,B03002_005E,B03002_005M,B03002_006E,B03002_006M,B03002_007E,B03002_007M,B03002_008E,B03002_008M,B03002_009E,B03002_009M,B03002_010E,B03002_010M,B03002_011E,B03002_011M,HISPANIC,B03002_012M,B03002_013E,B03002_013M,B03002_014E,B03002_014M,B03002_015E,B03002_015M,B03002_016E,B03002_016M,B03002_017E,B03002_017M,B03002_018E,B03002_018M,B03002_019E,B03002_019M,B03002_020E,B03002_020M,B03002_021E,B03002_021M
290019501001,"Block Group 1, Census Tract 9501, Adair County, Missouri",0.96713615,0,0,1491,237,1491,237,1442,225,0,11,2,3,0,11,0,11,7,10,40,51,0,11,40,51,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290019501002,"Block Group 2, Census Tract 9501, Adair County, Missouri",0.971910112,0,0,1246,222,1246,222,1211,217,0,11,0,11,13,21,0,11,0,11,22,30,0,11,22,30,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290019501003,"Block Group 3, Census Tract 9501, Adair County, Missouri",0.816779171,0.003857281,0.176470588,1037,265,854,175,847,176,4,9,2,3,0,11,0,11,0,11,1,2,0,11,1,2,183,213,183,213,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290019502001,"Block Group 1, Census Tract 9502, Adair County, Missouri",0.932225064,0,0.016624041,782,137,769,137,729,129,0,11,0,11,17,22,7,10,0,11,16,23,0,11,16,23,13,22,0,11,0,11,0,11,0,11,0,11,13,22,0,11,0,11,0,11
290019502002,"Block Group 2, Census Tract 9502, Adair County, Missouri",0.890315053,0,0.098016336,857,169,773,138,763,137,0,11,3,7,0,11,0,11,0,11,7,11,0,11,7,11,84,87,74,75,0,11,0,11,0,11,0,11,10,14,0,11,0,11,0,11
290019502003,"Block Group 3, Census Tract 9502, Adair County, Missouri",0.903030303,0.015584416,0.052813853,1155,199,1094,175,1043,178,18,30,0,11,0,11,33,47,0,11,0,11,0,11,0,11,61,88,0,11,0,11,0,11,0,11,0,11,23,33,38,56,38,56,0,11
290019503001,"Block Group 1, Census Tract 9503, Adair County, Missouri",0.996204934,0.003795066,0,527,170,527,170,525,170,2,4,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290019503002,"Block Group 2, Census Tract 9503, Adair County, Missouri",0.969945355,0,0,732,296,732,296,710,291,0,11,22,34,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290019503003,"Block Group 3, Census Tract 9503, Adair County, Missouri",0.974025974,0,0.025974026,1155,312,1125,293,1125,293,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,30,49,0,11,0,11,0,11,30,49,0,11,0,11,0,11,0,11,0,11
290019503004,"Block Group 4, Census Tract 9503, Adair County, Missouri",0.90998767,0.050554871,0,811,345,811,345,738,343,41,29,0,11,31,33,0,11,0,11,1,4,0,11,1,4,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290019504001,"Block Group 1, Census Tract 9504, Adair County, Missouri",0.819703799,0.086928525,0.03605924,1553,300,1497,274,1273,247,135,108,0,11,62,50,16,29,0,11,11,14,0,11,11,14,56,89,0,11,0,11,0,11,0,11,0,11,0,11,56,89,56,89,0,11
290019504002,"Block Group 2, Census Tract 9504, Adair County, Missouri",0.948557089,0,0.018820577,1594,237,1564,241,1512,242,0,11,0,11,39,48,0,11,0,11,13,17,0,11,13,17,30,49,30,49,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290019504003,"Block Group 3, Census Tract 9504, Adair County, Missouri",0.898245614,0.014035088,0,855,176,855,176,768,171,12,17,0,11,66,71,0,11,0,11,9,15,0,11,9,15,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290019505001,"Block Group 1, Census Tract 9505, Adair County, Missouri",0.888722555,0.103792415,0,2004,443,2004,443,1781,492,208,188,0,11,0,11,0,11,0,11,15,22,0,11,15,22,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290019505002,"Block Group 2, Census Tract 9505, Adair County, Missouri",0.939189189,0,0,444,169,444,169,417,185,0,11,0,11,0,11,0,11,0,11,27,43,0,11,27,43,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290019505003,"Block Group 3, Census Tract 9505, Adair County, Missouri",0.921587609,0.010648596,0,1033,352,1033,352,952,356,11,23,0,11,28,47,0,11,0,11,42,39,0,11,42,39,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290019505004,"Block Group 4, Census Tract 9505, Adair County, Missouri",0.896184561,0.01242236,0,1127,407,1127,407,1010,407,14,24,0,11,95,112,0,11,0,11,8,16,0,11,8,16,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290019505005,"Block Group 5, Census Tract 9505, Adair County, Missouri",0.982306684,0.008519004,0,1526,306,1526,306,1499,304,13,17,0,11,0,11,0,11,0,11,14,28,0,11,14,28,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290019505006,"Block Group 6, Census Tract 9505, Adair County, Missouri",0.673055242,0,0.032694476,887,259,858,256,597,218,0,11,0,11,165,95,0,11,30,49,66,73,37,60,29,45,29,53,29,53,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290019509001,"Block Group 1, Census Tract 9509, Adair County, Missouri",0.879368658,0.057497182,0.06313416,887,254,831,234,780,243,51,45,0,11,0,11,0,11,0,11,0,11,0,11,0,11,56,90,56,90,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290019509002,"Block Group 2, Census Tract 9509, Adair County, Missouri",0.826945412,0.068524971,0,861,241,861,241,712,167,59,72,0,11,16,31,0,11,0,11,74,81,0,11,74,81,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290019509003,"Block Group 3, Census Tract 9509, Adair County, Missouri",0.851794072,0.010920437,0.062402496,641,236,601,219,546,187,7,11,0,11,0,11,0,11,0,11,48,59,0,11,48,59,40,68,40,68,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290019510001,"Block Group 1, Census Tract 9510, Adair County, Missouri",0.793674699,0.075301205,0.037650602,664,154,639,153,527,128,50,46,0,11,24,23,0,11,0,11,38,27,0,11,38,27,25,30,25,30,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290019510002,"Block Group 2, Census Tract 9510, Adair County, Missouri",0.877850163,0.037459283,0.013029316,614,156,606,156,539,152,23,33,0,11,16,21,0,11,0,11,28,22,0,11,28,22,8,16,8,16,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290019510003,"Block Group 3, Census Tract 9510, Adair County, Missouri",0.837471783,0.036117381,0.007900677,886,161,879,159,742,158,32,25,0,11,36,35,0,11,0,11,69,54,0,11,69,54,7,13,7,13,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290030101001,"Block Group 1, Census Tract 101, Andrew County, Missouri",1,0,0,965,248,965,248,965,248,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290030101002,"Block Group 2, Census Tract 101, Andrew County, Missouri",0.807832423,0.088797814,0.050091075,2196,283,2086,282,1774,250,195,173,0,11,8,17,0,11,0,11,109,108,0,11,109,108,110,101,19,27,0,11,0,11,0,11,0,11,15,25,76,94,11,18,65,92
290030101003,"Block Group 3, Census Tract 101, Andrew County, Missouri",0.862834377,0.008537279,0.10130905,1757,297,1579,268,1516,259,15,21,0,11,0,11,0,11,0,11,48,57,0,11,48,57,178,156,13,18,0,11,0,11,27,32,122,139,0,11,16,26,16,26,0,11
290030101004,"Block Group 4, Census Tract 101, Andrew County, Missouri",0.915754923,0.013129103,0.051422319,914,183,867,177,837,165,12,21,0,11,2,4,0,11,0,11,16,23,0,11,16,23,47,55,41,52,0,11,0,11,0,11,0,11,6,10,0,11,0,11,0,11
290030102001,"Block Group 1, Census Tract 102, Andrew County, Missouri",1,0,0,1386,416,1386,416,1386,416,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290030102002,"Block Group 2, Census Tract 102, Andrew County, Missouri",1,0,0,1518,330,1518,330,1518,330,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290030102003,"Block Group 3, Census Tract 102, Andrew County, Missouri",1,0,0,787,240,787,240,787,240,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290030102004,"Block Group 4, Census Tract 102, Andrew County, Missouri",1,0,0,952,270,952,270,952,270,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290030102005,"Block Group 5, Census Tract 102, Andrew County, Missouri",0.986917844,0.00837258,0,1911,452,1911,452,1886,450,16,8,3,7,0,11,0,11,0,11,6,12,0,11,6,12,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290030103001,"Block Group 1, Census Tract 103, Andrew County, Missouri",0.997910136,0.002089864,0,957,153,957,153,955,152,2,4,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290030103002,"Block Group 2, Census Tract 103, Andrew County, Missouri",0.942537909,0,0.013567438,1253,215,1236,209,1181,202,0,11,42,42,0,11,0,11,0,11,13,24,0,11,13,24,17,26,17,26,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290030104001,"Block Group 1, Census Tract 104, Andrew County, Missouri",0.982982983,0,0.004004004,999,140,995,138,982,138,0,11,0,11,8,13,0,11,0,11,5,7,5,7,0,11,4,8,4,8,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290030104002,"Block Group 2, Census Tract 104, Andrew County, Missouri",0.968235294,0,0.022352941,850,124,831,124,823,125,0,11,0,11,0,11,0,11,0,11,8,13,0,11,8,13,19,18,12,16,0,11,0,11,0,11,0,11,0,11,7,10,7,10,0,11
290030104003,"Block Group 3, Census Tract 104, Andrew County, Missouri",0.920604915,0,0.059546314,1058,189,995,187,974,189,0,11,0,11,16,25,0,11,2,3,3,7,0,11,3,7,63,47,44,36,0,11,0,11,0,11,0,11,5,8,14,21,14,21,0,11
290059501001,"Block Group 1, Census Tract 9501, Atchison County, Missouri",0.997747748,0,0,444,78,444,78,443,78,0,11,0,11,1,2,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290059501002,"Block Group 2, Census Tract 9501, Atchison County, Missouri",0.96965866,0.01011378,0.007585335,791,102,785,102,767,101,8,8,0,11,0,11,0,11,0,11,10,10,0,11,10,10,6,8,4,9,0,11,0,11,0,11,0,11,0,11,2,3,0,11,2,3
290059501003,"Block Group 3, Census Tract 9501, Atchison County, Missouri",0.960886571,0,0.028683181,767,117,745,112,737,111,0,11,0,11,3,5,0,11,0,11,5,9,0,11,5,9,22,23,22,23,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290059501004,"Block Group 4, Census Tract 9501, Atchison County, Missouri",0.970387244,0.012528474,0.002277904,878,120,876,119,852,119,11,14,0,11,7,10,0,11,0,11,6,8,0,11,6,8,2,3,2,3,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
290059502001,"Block Group 1, Census Tract 9502, Atchison County, Missouri",0.953883495,0.006067961,0.026699029,824,100,802,97,786,97,5,5,11,15,0,11,0,11,0,11,0,11,0,11,0,11,22,21,22,21,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
