GEO_ID,GEOID,NAME,MEDIAN GROSS RENT,B25064_001M
1500000US290019501001,290019501001,"Block Group 1, Census Tract 9501, Adair County, Missouri",382,142
1500000US290019501002,290019501002,"Block Group 2, Census Tract 9501, Adair County, Missouri",604,127
1500000US290019501003,290019501003,"Block Group 3, Census Tract 9501, Adair County, Missouri",455,196
1500000US290019502001,290019502001,"Block Group 1, Census Tract 9502, Adair County, Missouri",461,300
1500000US290019502002,290019502002,"Block Group 2, Census Tract 9502, Adair County, Missouri",575,83
1500000US290019502003,290019502003,"Block Group 3, Census Tract 9502, Adair County, Missouri",1672,451
1500000US290019503001,290019503001,"Block Group 1, Census Tract 9503, Adair County, Missouri",589,308
1500000US290019503002,290019503002,"Block Group 2, Census Tract 9503, Adair County, Missouri",594,96
1500000US290019503003,290019503003,"Block Group 3, Census Tract 9503, Adair County, Missouri",513,197
1500000US290019503004,290019503004,"Block Group 4, Census Tract 9503, Adair County, Missouri",537,210
1500000US290019504001,290019504001,"Block Group 1, Census Tract 9504, Adair County, Missouri",583,136
1500000US290019504002,290019504002,"Block Group 2, Census Tract 9504, Adair County, Missouri",632,123
1500000US290019504003,290019504003,"Block Group 3, Census Tract 9504, Adair County, Missouri",407,62
1500000US290019505001,290019505001,"Block Group 1, Census Tract 9505, Adair County, Missouri",511,39
1500000US290019505002,290019505002,"Block Group 2, Census Tract 9505, Adair County, Missouri",906,461
1500000US290019505003,290019505003,"Block Group 3, Census Tract 9505, Adair County, Missouri",845,611
1500000US290019505004,290019505004,"Block Group 4, Census Tract 9505, Adair County, Missouri",554,352
1500000US290019505005,290019505005,"Block Group 5, Census Tract 9505, Adair County, Missouri",471,18
1500000US290019505006,290019505006,"Block Group 6, Census Tract 9505, Adair County, Missouri",618,151
1500000US290019509001,290019509001,"Block Group 1, Census Tract 9509, Adair County, Missouri",521,81
1500000US290019509002,290019509002,"Block Group 2, Census Tract 9509, Adair County, Missouri",488,149
1500000US290019509003,290019509003,"Block Group 3, Census Tract 9509, Adair County, Missouri",413,499
1500000US290019510001,290019510001,"Block Group 1, Census Tract 9510, Adair County, Missouri",-,**
1500000US290019510002,290019510002,"Block Group 2, Census Tract 9510, Adair County, Missouri",788,621
1500000US290019510003,290019510003,"Block Group 3, Census Tract 9510, Adair County, Missouri",-,**
1500000US290030101001,290030101001,"Block Group 1, Census Tract 101, Andrew County, Missouri",488,381
1500000US290030101002,290030101002,"Block Group 2, Census Tract 101, Andrew County, Missouri",868,61
1500000US290030101003,290030101003,"Block Group 3, Census Tract 101, Andrew County, Missouri",832,95
1500000US290030101004,290030101004,"Block Group 4, Census Tract 101, Andrew County, Missouri",1333,634
1500000US290030102001,290030102001,"Block Group 1, Census Tract 102, Andrew County, Missouri",687,75
1500000US290030102002,290030102002,"Block Group 2, Census Tract 102, Andrew County, Missouri",717,61
1500000US290030102003,290030102003,"Block Group 3, Census Tract 102, Andrew County, Missouri",725,968
1500000US290030102004,290030102004,"Block Group 4, Census Tract 102, Andrew County, Missouri",249,174
1500000US290030102005,290030102005,"Block Group 5, Census Tract 102, Andrew County, Missouri",432,56
1500000US290030103001,290030103001,"Block Group 1, Census Tract 103, Andrew County, Missouri",725,162
1500000US290030103002,290030103002,"Block Group 2, Census Tract 103, Andrew County, Missouri",563,215
1500000US290030104001,290030104001,"Block Group 1, Census Tract 104, Andrew County, Missouri",669,117
1500000US290030104002,290030104002,"Block Group 2, Census Tract 104, Andrew County, Missouri",469,375
1500000US290030104003,290030104003,"Block Group 3, Census Tract 104, Andrew County, Missouri",1389,800
1500000US290059501001,290059501001,"Block Group 1, Census Tract 9501, Atchison County, Missouri",628,53
1500000US290059501002,290059501002,"Block Group 2, Census Tract 9501, Atchison County, Missouri",483,126
1500000US290059501003,290059501003,"Block Group 3, Census Tract 9501, Atchison County, Missouri",492,50
1500000US290059501004,290059501004,"Block Group 4, Census Tract 9501, Atchison County, Missouri",535,73
1500000US290059502001,290059502001,"Block Group 1, Census Tract 9502, Atchison County, Missouri",621,51
1500000US290059502002,290059502002,"Block Group 2, Census Tract 9502, Atchison County, Missouri",625,119
1500000US290059502003,290059502003,"Block Group 3, Census Tract 9502, Atchison County, Missouri",406,120
1500000US290079501001,290079501001,"Block Group 1, Census Tract 9501, Audrain County, Missouri",825,549
1500000US290079501002,290079501002,"Block Group 2, Census Tract 9501, Audrain County, Missouri",769,632
1500000US290079501003,290079501003,"Block Group 3, Census Tract 9501, Audrain County, Missouri",477,65
1500000US290079502001,290079502001,"Block Group 1, Census Tract 9502, Audrain County, Missouri",-,**
1500000US290079502002,290079502002,"Block Group 2, Census Tract 9502, Audrain County, Missouri",600,153
1500000US290079502003,290079502003,"Block Group 3, Census Tract 9502, Audrain County, Missouri",783,205
1500000US290079502004,290079502004,"Block Group 4, Census Tract 9502, Audrain County, Missouri",600,338
1500000US290079502005,290079502005,"Block Group 5, Census Tract 9502, Audrain County, Missouri",522,75
1500000US290079503001,290079503001,"Block Group 1, Census Tract 9503, Audrain County, Missouri",663,544
1500000US290079503002,290079503002,"Block Group 2, Census Tract 9503, Audrain County, Missouri",625,386
1500000US290079503003,290079503003,"Block Group 3, Census Tract 9503, Audrain County, Missouri",639,489
1500000US290079504001,290079504001,"Block Group 1, Census Tract 9504, Audrain County, Missouri",520,47
1500000US290079504002,290079504002,"Block Group 2, Census Tract 9504, Audrain County, Missouri",368,64
1500000US290079504003,290079504003,"Block Group 3, Census Tract 9504, Audrain County, Missouri",422,316
1500000US290079505001,290079505001,"Block Group 1, Census Tract 9505, Audrain County, Missouri",538,442
1500000US290079505002,290079505002,"Block Group 2, Census Tract 9505, Audrain County, Missouri",530,104
1500000US290079505003,290079505003,"Block Group 3, Census Tract 9505, Audrain County, Missouri",841,164
1500000US290079505004,290079505004,"Block Group 4, Census Tract 9505, Audrain County, Missouri",467,656
1500000US290079506001,290079506001,"Block Group 1, Census Tract 9506, Audrain County, Missouri",463,337
1500000US290079506002,290079506002,"Block Group 2, Census Tract 9506, Audrain County, Missouri",649,117
1500000US290079507001,290079507001,"Block Group 1, Census Tract 9507, Audrain County, Missouri",745,124
1500000US290079507002,290079507002,"Block Group 2, Census Tract 9507, Audrain County, Missouri",811,390
1500000US290079507003,290079507003,"Block Group 3, Census Tract 9507, Audrain County, Missouri",689,85
1500000US290079507004,290079507004,"Block Group 4, Census Tract 9507, Audrain County, Missouri",425,183
1500000US290099601001,290099601001,"Block Group 1, Census Tract 9601, Barry County, Missouri",567,105
1500000US290099601002,290099601002,"Block Group 2, Census Tract 9601, Barry County, Missouri",805,708
1500000US290099601003,290099601003,"Block Group 3, Census Tract 9601, Barry County, Missouri",-,**
1500000US290099601004,290099601004,"Block Group 4, Census Tract 9601, Barry County, Missouri",601,131
1500000US290099601005,290099601005,"Block Group 5, Census Tract 9601, Barry County, Missouri",438,1694
1500000US290099602001,290099602001,"Block Group 1, Census Tract 9602, Barry County, Missouri",573,35
1500000US290099602002,290099602002,"Block Group 2, Census Tract 9602, Barry County, Missouri",509,52
1500000US290099602003,290099602003,"Block Group 3, Census Tract 9602, Barry County, Missouri",-,**
1500000US290099602004,290099602004,"Block Group 4, Census Tract 9602, Barry County, Missouri",-,**
1500000US290099602005,290099602005,"Block Group 5, Census Tract 9602, Barry County, Missouri",502,107
1500000US290099603001,290099603001,"Block Group 1, Census Tract 9603, Barry County, Missouri",889,278
1500000US290099603002,290099603002,"Block Group 2, Census Tract 9603, Barry County, Missouri",549,137
1500000US290099603003,290099603003,"Block Group 3, Census Tract 9603, Barry County, Missouri",665,451
1500000US290099603004,290099603004,"Block Group 4, Census Tract 9603, Barry County, Missouri",601,77
1500000US290099603005,290099603005,"Block Group 5, Census Tract 9603, Barry County, Missouri",606,216
1500000US290099603006,290099603006,"Block Group 6, Census Tract 9603, Barry County, Missouri",838,139
1500000US290099604011,290099604011,"Block Group 1, Census Tract 9604.01, Barry County, Missouri",566,104
1500000US290099604012,290099604012,"Block Group 2, Census Tract 9604.01, Barry County, Missouri",-,**
1500000US290099604013,290099604013,"Block Group 3, Census Tract 9604.01, Barry County, Missouri",531,48
1500000US290099604021,290099604021,"Block Group 1, Census Tract 9604.02, Barry County, Missouri",519,147
1500000US290099604022,290099604022,"Block Group 2, Census Tract 9604.02, Barry County, Missouri",608,519
1500000US290099604023,290099604023,"Block Group 3, Census Tract 9604.02, Barry County, Missouri",560,80
1500000US290099605001,290099605001,"Block Group 1, Census Tract 9605, Barry County, Missouri",669,12
1500000US290099605002,290099605002,"Block Group 2, Census Tract 9605, Barry County, Missouri",524,154
1500000US290099605003,290099605003,"Block Group 3, Census Tract 9605, Barry County, Missouri",614,28
1500000US290099605004,290099605004,"Block Group 4, Census Tract 9605, Barry County, Missouri",381,77
1500000US290099605005,290099605005,"Block Group 5, Census Tract 9605, Barry County, Missouri",533,25
1500000US290099606001,290099606001,"Block Group 1, Census Tract 9606, Barry County, Missouri",766,167
1500000US290099606002,290099606002,"Block Group 2, Census Tract 9606, Barry County, Missouri",480,149
1500000US290119601001,290119601001,"Block Group 1, Census Tract 9601, Barton County, Missouri",522,20
1500000US290119601002,290119601002,"Block Group 2, Census Tract 9601, Barton County, Missouri",438,74
1500000US290119601003,290119601003,"Block Group 3, Census Tract 9601, Barton County, Missouri",425,70
1500000US290119602001,290119602001,"Block Group 1, Census Tract 9602, Barton County, Missouri",431,353
1500000US290119602002,290119602002,"Block Group 2, Census Tract 9602, Barton County, Missouri",563,97
1500000US290119602003,290119602003,"Block Group 3, Census Tract 9602, Barton County, Missouri",514,68
1500000US290119602004,290119602004,"Block Group 4, Census Tract 9602, Barton County, Missouri",438,99
1500000US290119603001,290119603001,"Block Group 1, Census Tract 9603, Barton County, Missouri",564,137
1500000US290119603002,290119603002,"Block Group 2, Census Tract 9603, Barton County, Missouri",-,**
1500000US290119603003,290119603003,"Block Group 3, Census Tract 9603, Barton County, Missouri",423,95
1500000US290119603004,290119603004,"Block Group 4, Census Tract 9603, Barton County, Missouri",456,242
1500000US290119603005,290119603005,"Block Group 5, Census Tract 9603, Barton County, Missouri",637,108
1500000US290130701001,290130701001,"Block Group 1, Census Tract 701, Bates County, Missouri",820,66
1500000US290130701002,290130701002,"Block Group 2, Census Tract 701, Bates County, Missouri",539,211
1500000US290130701003,290130701003,"Block Group 3, Census Tract 701, Bates County, Missouri",621,56
1500000US290130702001,290130702001,"Block Group 1, Census Tract 702, Bates County, Missouri",645,137
1500000US290130702002,290130702002,"Block Group 2, Census Tract 702, Bates County, Missouri",620,258
1500000US290130702003,290130702003,"Block Group 3, Census Tract 702, Bates County, Missouri",392,112
1500000US290130702004,290130702004,"Block Group 4, Census Tract 702, Bates County, Missouri",831,132
1500000US290130703001,290130703001,"Block Group 1, Census Tract 703, Bates County, Missouri",442,35
1500000US290130703002,290130703002,"Block Group 2, Census Tract 703, Bates County, Missouri",612,39
1500000US290130703003,290130703003,"Block Group 3, Census Tract 703, Bates County, Missouri",570,71
1500000US290130703004,290130703004,"Block Group 4, Census Tract 703, Bates County, Missouri",442,124
1500000US290130704001,290130704001,"Block Group 1, Census Tract 704, Bates County, Missouri",438,202
1500000US290130704002,290130704002,"Block Group 2, Census Tract 704, Bates County, Missouri",450,81
