Latitude,Longitude,Activations
39.037,-94.559,10
39.063,-94.566,17
39.054,-94.560,21
39.064,-94.554,22
39.056,-94.556,12
39.067,-94.570,17
39.061,-94.559,13
39.043,-94.554,47
39.059,-94.546,13
39.041,-94.553,13
39.042,-94.555,15
39.059,-94.547,27
39.064,-94.559,18
39.045,-94.570,7
39.044,-94.552,32
39.058,-94.572,7
39.064,-94.558,17
39.066,-94.559,17
39.057,-94.560,9
39.040,-94.554,5
39.056,-94.558,7
39.063,-94.565,21
39.063,-94.551,27
39.062,-94.551,5
39.034,-94.558,9
39.054,-94.551,23
39.065,-94.570,17
39.056,-94.549,36
39.064,-94.568,5
39.044,-94.571,7
39.061,-94.546,25
39.058,-94.549,14
39.054,-94.561,8
39.051,-94.560,13
39.062,-94.564,8
39.064,-94.570,10
39.067,-94.569,7
39.067,-94.565,9
39.064,-94.557,19
39.066,-94.569,18
39.055,-94.551,21
39.053,-94.551,15
39.065,-94.565,13
39.068,-94.557,3
39.067,-94.558,13
39.066,-94.557,13
39.041,-94.570,5
39.060,-94.551,9
39.056,-94.551,10
39.068,-94.558,14
39.056,-94.557,16
39.056,-94.565,12
39.050,-94.553,8
39.048,-94.546,1
39.065,-94.574,7
39.067,-94.557,7
39.049,-94.551,3
39.055,-94.550,31
39.051,-94.553,16
39.043,-94.553,20
39.046,-94.547,8
39.048,-94.554,21
39.045,-94.554,13
39.066,-94.563,9
39.047,-94.565,11
39.053,-94.559,22
39.035,-94.564,12
39.035,-94.565,6
39.061,-94.558,20
39.062,-94.553,25
39.058,-94.552,33
39.050,-94.570,4
39.057,-94.555,28
39.060,-94.545,6
39.050,-94.548,22
39.037,-94.563,6
39.054,-94.559,9
39.066,-94.551,14
39.036,-94.563,22
39.053,-94.561,13
39.043,-94.560,14
39.055,-94.559,25
39.055,-94.560,10
39.049,-94.549,10
39.063,-94.556,9
39.052,-94.573,6
39.050,-94.569,5
39.044,-94.565,13
39.061,-94.552,16
39.059,-94.551,27
39.065,-94.549,8
39.042,-94.552,7
39.058,-94.558,20
39.041,-94.571,2
39.042,-94.571,8
39.046,-94.551,25
39.045,-94.553,27
39.055,-94.558,14
39.054,-94.558,14
39.069,-94.556,3
39.065,-94.557,17
39.051,-94.567,9
39.063,-94.552,38
39.043,-94.567,5
39.046,-94.550,33
39.045,-94.557,23
39.051,-94.549,13
39.055,-94.567,5
39.050,-94.558,17
39.051,-94.558,10
39.056,-94.559,22
39.059,-94.562,4
39.056,-94.562,19
39.053,-94.557,11
39.063,-94.553,35
39.058,-94.567,18
39.035,-94.558,9
39.036,-94.560,12
39.066,-94.567,3
39.036,-94.564,29
39.064,-94.562,5
39.059,-94.550,16
39.062,-94.547,17
39.037,-94.568,5
39.056,-94.572,12
39.047,-94.571,4
39.048,-94.563,18
39.063,-94.571,10
39.064,-94.549,10
39.049,-94.564,4
39.062,-94.561,6
39.048,-94.549,47
39.068,-94.572,3
39.042,-94.570,8
39.052,-94.551,29
39.044,-94.557,18
39.061,-94.563,10
39.043,-94.557,29
39.070,-94.553,11
39.063,-94.559,13
39.061,-94.555,25
39.044,-94.554,21
39.047,-94.554,12
39.044,-94.556,17
39.071,-94.560,1
39.057,-94.563,16
39.066,-94.574,1
39.065,-94.548,13
39.048,-94.560,9
39.065,-94.567,3
39.059,-94.566,9
39.033,-94.558,6
39.064,-94.573,33
39.050,-94.560,9
39.066,-94.554,16
39.061,-94.570,2
39.059,-94.565,10
39.047,-94.564,19
39.046,-94.564,15
39.063,-94.569,20
39.068,-94.552,7
39.061,-94.562,11
39.037,-94.561,13
39.049,-94.563,16
39.046,-94.557,11
39.033,-94.561,7
39.066,-94.558,26
39.052,-94.561,18
39.052,-94.557,10
39.066,-94.572,2
39.049,-94.573,6
39.034,-94.553,10
39.047,-94.567,13
39.045,-94.564,7
39.052,-94.558,11
39.050,-94.567,12
39.038,-94.565,2
39.039,-94.566,2
39.061,-94.561,13
39.058,-94.547,8
39.062,-94.550,8
39.044,-94.568,26
39.049,-94.559,11
39.063,-94.573,14
39.048,-94.568,11
39.066,-94.556,6
39.039,-94.554,16
39.062,-94.571,2
39.034,-94.563,6
39.047,-94.558,14
39.045,-94.565,9
39.061,-94.560,12
39.044,-94.569,18
39.034,-94.559,9
39.060,-94.552,17
39.036,-94.559,13
39.045,-94.572,5
39.051,-94.552,10
39.052,-94.572,7
39.071,-94.561,2
39.048,-94.566,14
39.053,-94.568,2
39.046,-94.553,35
39.067,-94.550,6
39.066,-94.550,14
39.048,-94.558,12
39.043,-94.551,28
39.048,-94.551,22
39.047,-94.572,4
39.052,-94.571,12
39.043,-94.566,11
39.051,-94.554,12
39.061,-94.557,28
39.058,-94.559,16
39.068,-94.569,4
39.050,-94.557,22
39.048,-94.553,14
39.042,-94.553,16
39.057,-94.566,6
39.059,-94.555,41
39.051,-94.570,12
39.054,-94.571,10
39.033,-94.555,2
39.036,-94.565,12
39.048,-94.571,11
39.045,-94.559,32
39.051,-94.557,10
39.052,-94.566,32
39.054,-94.565,20
39.055,-94.562,13
39.059,-94.561,10
39.058,-94.561,9
39.037,-94.562,2
39.041,-94.555,10
39.059,-94.548,21
39.058,-94.555,18
39.035,-94.560,7
39.054,-94.550,32
39.049,-94.566,10
39.034,-94.564,26
39.057,-94.554,8
39.064,-94.560,7
39.056,-94.554,7
39.059,-94.560,10
39.063,-94.567,14
39.034,-94.568,14
39.049,-94.552,10
39.055,-94.555,23
39.053,-94.554,13
39.061,-94.554,31
39.045,-94.566,10
39.061,-94.545,10
39.055,-94.547,14
39.063,-94.547,6
39.061,-94.548,11
39.066,-94.552,14
39.053,-94.560,7
39.062,-94.565,10
