OBJECTID,NAME,ORDNUM,STATUS,SHAPE.AREA,SHAPE.LEN,LONGITUDE,LATITUDE
2,Walnut Grove Apts URA,469,Expired,554942.378,,39.1611622,-94.54614325
3,Woodland URA, ,Active,1798275.269,,39.10662817,-94.56023927
4,Wheatley House URA, ,Expired,25935.70108,,39.08526417,-94.55035898
5,Westportmill URA,961498,Active,386663.7206,,39.05178606,-94.59357754
6,Westport Main URA,55484,Expired,707807.5081,,39.05841215,-94.58654509
7,Westport Housing URA,1070,Active,347148.1369,,39.05125925,-94.59343861
8,West Armour URA, ,Expired,617907.2743,,39.06481389,-94.59014588
9,31st & Main URA, ,Expired,109540.6229,,39.07103507,-94.58666281
10,Warner Plaza URA,60369,Expired,302788.978,,39.06822559,-94.58534252
11,Uptown URA,180820,Active,767431.7077,,39.06272307,-94.59127929
12,Troost Lake URA,47288,Expired,71931.33829,,39.0746268,-94.56535574
13,Troost Hill Apts URA,980257,Active,163981.692,,38.97971752,-94.57860242
14,Troost 53-63rd URA,50969,Expired,2660954.404,,39.03082458,-94.57423825
15,Trinity St.Marys URA,40590,Terminated,997825.5536,,39.07655593,-94.58735253
16,Townfork Creek URA,470,Expired,27057912.1,,39.03875743,-94.55444716
17,South Humboldt URA, ,Active,1014097.318,,39.10019524,-94.5773221
18,South 31st Street URA,971636,Active,2654804.383,,39.07051303,-94.60475641
19,Santa Fe URA, ,Active,863445.7123,,39.07269711,-94.55262794
20,Oak Park URA,970572,Active,95361760.9,,39.06853754,-94.56692835
21,Manual Outline URA,50445,Expired,3612643.521,,39.09098557,-94.57103038
22,Mainmark Building URA, ,Expired,7074.073959,,39.09365488,-94.58337936
23,Loretto URA, ,Expired,275465.282,,39.05705455,-94.60146576
24,Longfellow URA,46714,Expired,395494.622,,39.07436345,-94.57755081
25,Long Meadow URA, ,Expired,23633.51851,,39.06567347,-94.58498155
26,Little Sister's of the PoorURA,990135,Expired,197002.2136,,39.0305189,-94.56541785
27,Linwood Prospect URA, ,Active,1996464.618,,39.0789362,-94.55300355
29,Independence Plaza URA, ,Active,11830113.16,,39.1065219,-94.55564934
30,Immanuel URA,48098,Expired,46039.54917,,39.05056053,-94.57051667
31,Hospital Hill II URA,,Active,9145882.543,,39.08158463,-94.57718405
32,Hospital Hill I URA, ,Active,1963558.615,,39.08788864,-94.57641305
33,Highgate URA, ,Expired,84532.68809,,39.06811166,-94.57380485
34,Grand Avenue South URA,50241,Expired,1857812.821,,39.09171597,-94.58195821
35,Grand Avenue Office Campus URA,20276,Active,932361.5455,,39.09981494,-94.58080052
36,Garfield URA, ,Active,8896710.163,,39.11398062,-94.55972777
37,Fairyland URA,290,Active,2686728.996,,38.99070297,-94.55723053
38,Eastwood Trafficway URA,971778,Active,3049089.943,,39.03412233,-94.50315898
39,Eastside URA, ,Active,2203847.205,,39.10609522,-94.57671996
40,East 23rd Street URA, ,Active,37254446.43,,39.0942273,-94.53780091
41,Corrigan Building URA, ,Expired,56661.01222,,39.09091981,-94.58353365
43,CBD URA, ,Active,11582990.27,,39.10661966,-94.58992916
44,Boulevard Heights URA,961499,Active,5375457.373,,39.00685031,-94.56208335
45,Board of Trade URA,53518,Expired,807477.8176,,39.03795468,-94.59127642
46,Blue Valley URA,980946,Expired,30168232.77,,39.07265737,-94.51292221
47,Blue Hills URA, ,Active,4519009.448,,39.01649285,-94.56859578
48,Bishop Spencer URA,49096,Expired,71081.31716,,39.04944394,-94.59306998
49,Baughman Road URA,971274,Terminated,205014.7666,,39.24503717,-94.6036753
50,Attucks East URA, ,Active,4097302.448,,39.09485949,-94.55614041
51,Armour Boulevard URA,62926,Expired,992659.991,,39.06379225,-94.57285525
52,65th & Rockhill URA,61208,Expired,75739.81521,,39.01037373,-94.57690757
53,40th & Mill URA, ,Active,71390.44664,,39.05502156,-94.59444038
54,39th & Warwick URA,41438,Expired,72772.14628,,39.05642336,-94.58366278
55,39th & Troost URA,41438,Expired,60825.19683,,39.05661358,-94.5727135
57,29th & Brooklyn URA,614469,Expired,54349.29317,,39.07358234,-94.55719859
58,27th & Southwest Blvd URA, ,Expired,198197.8575,,39.07725423,-94.60233639
59,25th & Summit URA,981247,Expired,352638.1156,,39.08342217,-94.59393304
60,20th & Main URA,49188,Expired,134844.8867,,39.08860167,-94.58437809
61,Brooklyn West URA, ,Active,1106604.567,,39.09914323,-94.5606382
62,12th & Vine URA, ,Active,1287143.286,,39.10302602,-94.56334905
63,12th & Brooklyn URA, ,Active,81197.95271,,39.09899542,-94.55713981
64,Brooklyn East I URA,990638,Expired,899634.5237,,39.08816069,-94.55597069
65,Brooklyn East II URA,990639,Expired,493030.9709,,39.08497749,-94.55613705
66,Mt Cleveland URA,1581,Active,884186.1012,,39.03325663,-94.5386391
67,Clay School URA,1649,Terminated,88793.80394,,39.10342265,-94.50390908
68,16th & Jefferson URA,200243,Active,136116.2487,,39.09548296,-94.59206827
69,23rd & Jarboe URA,200241,Terminated,469648.6659,,39.08595656,-94.59836761
70,Baptist Memorial URA, ,Expired,1771136.591,,39.00393712,-94.57950424
71,Mulkey Square URA,63323,Expired,272784.4789,,39.09718658,-94.59560411
72,Linwood Gilham URA, ,Active,123416.3962,,39.06812432,-94.57967799
