GEOID2,GEOID,year,name,parent.location,population,poverty.rate,renter.occupied.households,pct.renter.occupied,median.gross.rent,median.household.income,median.property.value,rent.burden,pct.white,pct.af.am,pct.hispanic,pct.am.ind,pct.asian,pct.nh.pi,pct.multiple,pct.other,eviction.filings,evictions,eviction.rate,eviction.filing.rate,low.flag,imputed,subbed
290019501001,2.9002E+11,2015,9501.1,"Adair County, Missouri",1333,11.52,78,9.21,716,57750,121900,29,97.07,0,0.3,0.08,0.3,0,2.25,0,1,1,1.28,1.28,0,0,0
290019501002,2.9002E+11,2015,9501.2,"Adair County, Missouri",1212,0.5,76,12.32,752,65083,170000,14.9,99.09,0,0,0.41,0,0,0.5,0,1,0,0,1.31,0,0,0
290019501003,2.9002E+11,2015,9501.3,"Adair County, Missouri",1140,13.84,72,14.5,468,42042,70700,14.3,98.25,0,0.35,0,0.26,0,1.14,0,2,2,2.78,2.78,0,0,0
290019502001,2.9002E+11,2015,9502.1,"Adair County, Missouri",844,20.75,73,14.41,517,32188,64400,29.6,97.39,0,1.07,0,1.07,0,0.47,0,1,1,1.37,1.37,0,0,0
290019502002,2.9002E+11,2015,9502.2,"Adair County, Missouri",796,8.95,45,12.06,,48542,117000,22.5,92.96,0,2.01,0,0,1.63,3.39,0,0,0,0,0,0,0,0
290019502003,2.9002E+11,2015,9502.3,"Adair County, Missouri",1220,9.35,67,19.5,759,42888,124300,45.4,95.57,0,1.48,0,0,2.95,0,0,0,0,0,0,0,0,0
290019503001,2.9002E+11,2015,9503.1,"Adair County, Missouri",743,3.72,115,30.67,488,36000,81000,21.5,98.12,0.94,0,0,0,0,0.94,0,2,1,0.87,1.75,0,0,0
290019503002,2.9002E+11,2015,9503.2,"Adair County, Missouri",480,25.85,114,41.98,680,26000,69700,50,97.5,0,0,0,2.5,0,0,0,5,3,2.64,4.39,0,0,0
290019503003,2.9002E+11,2015,9503.3,"Adair County, Missouri",967,30.32,298,77.31,521,20000,58600,33.8,92.76,4.03,1.76,0,1.45,0,0,0,7,5,1.68,2.35,0,0,0
290019503004,2.9002E+11,2015,9503.4,"Adair County, Missouri",817,0,373,93.77,603,17250,95000,50,76.74,6.98,7.59,0,2.33,0,5.14,1.22,2,1,0.27,0.54,0,0,0
290019504001,2.9002E+11,2015,9504.1,"Adair County, Missouri",1599,12.06,238,33.02,544,43644,116800,25.6,86.43,5.75,1.69,0,2.5,1.44,2.19,0,2,2,0.84,0.84,0,0,0
290019504002,2.9002E+11,2015,9504.2,"Adair County, Missouri",1377,7,211,27.92,587,53533,122700,20.9,90.12,0,0,0,9.88,0,0,0,5,5,2.37,2.37,0,0,0
290019504003,2.9002E+11,2015,9504.3,"Adair County, Missouri",896,5.74,147,41.15,409,30000,94200,30.9,99.11,0.45,0,0,0,0,0.45,0,1,1,0.68,0.68,0,0,0
290019505001,2.9002E+11,2015,9505.1,"Adair County, Missouri",2283,3.14,433,41.34,631,38841,166300,34.2,90.85,3.55,4.34,1.27,0,0,0,0,4,1,0.23,0.92,0,0,0
290019505002,2.9002E+11,2015,9505.2,"Adair County, Missouri",861,0,78,29.63,948,45385,65000,,95.47,0,0,0,4.53,0,0,0,0,0,0,0,0,0,0
290019505003,2.9002E+11,2015,9505.3,"Adair County, Missouri",685,0,181,52.87,729,45663,125000,30,90.36,8.61,0,0,1.02,0,0,0,3,0,0,1.66,0,0,0
290019505004,2.9002E+11,2015,9505.4,"Adair County, Missouri",852,23.02,253,70.91,596,17760,74600,50,82.75,0,13.85,0,3.4,0,0,0,4,2,0.79,1.58,0,0,0
290019505005,2.9002E+11,2015,9505.5,"Adair County, Missouri",2026,11.94,241,25.11,485,53464,159900,39.1,96.94,1.38,0,0,1.43,0,0.25,0,3,1,0.42,1.25,0,0,0
290019505006,2.9002E+11,2015,9505.6,"Adair County, Missouri",709,100,361,100,595,7727,,50,60.93,0,11.28,4.23,23.55,0,0,0,4,3,0.83,1.11,0,0,0
290019509001,2.9002E+11,2015,9509.1,"Adair County, Missouri",809,17.65,251,67.33,526,18393,94400,33.8,88.63,0.62,9.02,0,0,0,1.73,0,1,0,0,0.4,0,0,0
290019509002,2.9002E+11,2015,9509.2,"Adair County, Missouri",663,18.75,178,48.16,610,32750,90700,50,94.12,3.77,0,0,0,0,2.11,0,4,4,2.25,2.25,0,0,0
290019509003,2.9002E+11,2015,9509.3,"Adair County, Missouri",857,75.76,270,90,735,10357,,50,86.81,0,5.72,1.17,0.93,0,4.55,0.82,2,2,0.74,0.74,0,0,0
290019510001,2.9002E+11,2015,9510.1,"Adair County, Missouri",638,0,1,0,,,,,83.39,7.84,2.19,0,2.98,0,2.82,0.78,0,0,0,0,0,0,0
290019510002,2.9002E+11,2015,9510.2,"Adair County, Missouri",717,23.08,56,100,495,,,38.8,86.33,8.51,1.39,1.26,2.51,0,0,0,0,0,0,0,0,0,0
290019510003,2.9002E+11,2015,9510.3,"Adair County, Missouri",1036,0,9,100,,,,,91.99,1.93,1.25,0,1.74,0,3.09,0,0,0,0,0,0,0,0
290030101001,2.9003E+11,2015,101.1,"Andrew County, Missouri",1150,3.53,72,22.07,709,61903,176000,15.9,96.96,0,3.04,0,0,0,0,0,3,2,2.77,4.16,0,0,0
290030101002,2.9003E+11,2015,101.2,"Andrew County, Missouri",2293,6.27,237,33.95,931,63426,147100,28.5,90.01,2.44,5.71,0,0.44,0,0.96,0.44,7,6,2.53,2.95,0,0,0
290030101003,2.9003E+11,2015,101.3,"Andrew County, Missouri",1512,1.19,65,5.62,821,93229,205900,16.5,92.86,1.06,2.58,0.53,0,0,2.98,0,1,1,1.54,1.54,0,0,0
290030101004,2.9003E+11,2015,101.4,"Andrew County, Missouri",720,2.84,36,8.73,1278,91500,157100,34,95.97,0,1.81,0,0.28,0,1.94,0,0,0,0,0,0,0,0
290030102001,2.9003E+11,2015,102.1,"Andrew County, Missouri",1396,5.36,149,12.36,629,46842,96200,17.1,93.98,0,4.73,0,1.29,0,0,0,1,0,0,0.67,0,0,0
290030102002,2.9003E+11,2015,102.2,"Andrew County, Missouri",1494,3.86,245,36.71,543,38459,101300,29.3,93.57,1.47,1.74,0,0,0,3.21,0,4,3,1.23,1.64,0,0,0
290030102003,2.9003E+11,2015,102.3,"Andrew County, Missouri",1254,18.15,62,28.31,740,41111,116100,31.6,97.77,0,2.23,0,0,0,0,0,2,1,1.61,3.23,0,0,0
290030102004,2.9003E+11,2015,102.4,"Andrew County, Missouri",943,6.87,140,22.28,334,56750,119200,26.6,100,0,0,0,0,0,0,0,1,1,0.71,0.71,0,0,0
290030102005,2.9003E+11,2015,102.5,"Andrew County, Missouri",1671,7.42,212,40.1,621,43950,98500,21.7,98.2,1.5,0.3,0,0,0,0,0,5,4,1.89,2.36,0,0,0
290030103001,2.9003E+11,2015,103.1,"Andrew County, Missouri",897,2.86,53,8.58,755,55962,84900,34.5,96.32,2.79,0,0,0.89,0,0,0,0,0,0,0,0,0,0
290030103002,2.9003E+11,2015,103.2,"Andrew County, Missouri",1031,11.24,88,12.12,600,46319,104900,27.5,94.47,0,0.97,3.69,0,0,0.87,0,3,1,1.14,3.43,0,0,0
290030104001,2.9003E+11,2015,104.1,"Andrew County, Missouri",1122,8.88,54,23.46,666,53050,88600,20,96.35,0,0.71,0,0,0,2.94,0,1,1,1.86,1.86,0,0,0
290030104002,2.9003E+11,2015,104.2,"Andrew County, Missouri",845,1.16,53,13.7,725,64271,127500,14.8,98.34,0,0.47,0,0,0,1.18,0,1,1,1.89,1.89,0,0,0
290030104003,2.9003E+11,2015,104.3,"Andrew County, Missouri",1000,12.92,56,3.34,,48542,159100,,95.4,0,0.6,4,0,0,0,0,1,1,1.78,1.78,0,0,0
290059501001,2.9006E+11,2015,9501.1,"Atchison County, Missouri",765,7.56,98,34.44,608,52216,96300,17.2,98.43,0.13,1.18,0.13,0.13,0,0,0,0,0,0,0,0,0,0
290059501002,2.9006E+11,2015,9501.2,"Atchison County, Missouri",766,12.32,81,30.55,477,40707,56900,22,97.65,0.26,0.78,0,0.39,0,0.91,0,0,0,0,0,0,0,0
290059501003,2.9006E+11,2015,9501.3,"Atchison County, Missouri",638,11.73,118,33.93,515,25500,51800,26.6,98.28,0,0.94,0,0.78,0,0,0,1,1,0.85,0.85,0,0,0
290059501004,2.9006E+11,2015,9501.4,"Atchison County, Missouri",858,13.43,127,29.2,596,53606,77500,22.5,94.41,1.28,0.7,1.17,2.21,0,0.23,0,1,0,0,0.79,0,0,0
290059502001,2.9006E+11,2015,9502.1,"Atchison County, Missouri",957,6.53,97,31.35,659,43958,89000,19.6,94.78,0.21,4.08,0,0,0,0.94,0,0,0,0,0,0,0,0
290059502002,2.9006E+11,2015,9502.2,"Atchison County, Missouri",426,5.56,66,21.69,475,48750,87900,10,98.36,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0
290059502003,2.9006E+11,2015,9502.3,"Atchison County, Missouri",1030,5.48,149,35.11,451,45795,132800,24.6,97.28,0,0.29,0,1.17,0,1.26,0,0,0,0,0,0,0,0
290079501001,2.9008E+11,2015,9501.1,"Audrain County, Missouri",566,15.25,71,16.2,579,31500,49700,26.8,92.93,0,5.12,0,0,0,1.94,0,1,0,0,1.41,0,0,0
290079501002,2.9008E+11,2015,9501.2,"Audrain County, Missouri",2241,12.26,75,23.8,415,34712,74500,31.9,77.64,13.34,1.83,0.31,0.58,0,5.76,0.54,1,0,0,1.34,0,0,0
290079501003,2.9008E+11,2015,9501.3,"Audrain County, Missouri",1622,17.24,215,42.01,499,38156,57600,22.8,79.59,17.57,0.37,0,0.37,0,2.1,0,9,5,2.33,4.19,0,0,0
290079502001,2.9008E+11,2015,9502.1,"Audrain County, Missouri",850,2.56,39,10.26,,42000,,,88.35,0,11.65,0,0,0,0,0,0,0,0,0,0,0,0
290079502002,2.9008E+11,2015,9502.2,"Audrain County, Missouri",568,16.42,59,29.63,500,26625,59300,22.8,97.01,1.41,0,0,0,0,1.58,0,0,0,0,0,0,0,0
290079502003,2.9008E+11,2015,9502.3,"Audrain County, Missouri",1086,4.17,108,29.69,604,48000,88800,15.7,96.78,1.29,0.92,0,0,0,1.01,0,1,0,0,0.93,0,0,0
290079502004,2.9008E+11,2015,9502.4,"Audrain County, Missouri",554,6.82,42,21.36,608,43553,65000,16.6,98.38,0,1.62,0,0,0,0,0,0,0,0,0,0,0,0
290079502005,2.9008E+11,2015,9502.5,"Audrain County, Missouri",1311,14.58,123,11.38,489,59007,125700,27.5,89.7,0.76,0,0,0,0,9.53,0,1,1,0.81,0.81,0,0,0
290079503001,2.9008E+11,2015,9503.1,"Audrain County, Missouri",1575,24,49,3.74,,66806,156500,10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290079503002,2.9008E+11,2015,9503.2,"Audrain County, Missouri",735,8.88,62,8.47,616,50781,114400,10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290079503003,2.9008E+11,2015,9503.3,"Audrain County, Missouri",1461,6.12,62,12.55,956,61429,152100,23.3,91.79,5.75,0,0,0,0,1.92,0.55,1,1,1.62,1.62,0,0,0
290079504001,2.9008E+11,2015,9504.1,"Audrain County, Missouri",1036,0,126,32.9,548,41192,74200,23.5,98.94,1.06,0,0,0,0,0,0,4,3,2.37,3.17,0,0,0
290079504002,2.9008E+11,2015,9504.2,"Audrain County, Missouri",1085,52.05,132,31.25,417,23771,71600,44.1,75.3,6.82,2.95,0,0,0,14.93,0,0,0,0,0,0,0,0
290079504003,2.9008E+11,2015,9504.3,"Audrain County, Missouri",775,15.82,135,41.87,511,34353,90000,21.4,84.26,5.68,9.29,0.77,0,0,0,0,3,2,1.49,2.23,0,0,0
